Sigla;Código;Município;INPC - capitais - índice (dez. 1993=100) (2023.01);Cesta básica - feijão - preço mensal - INATIVA (2023.01);Cesta básica - arroz - preço mensal - INATIVA (2023.01);Cesta básica - pão - preço mensal - INATIVA (2023.01);Cesta básica - café - preço mensal - INATIVA (2023.01);
MG;3157377;Santa Cruz de Salinas;;;;;;
MG;3157401;Santa Cruz do Escalvado;;;;;;
MG;3157500;Santa Efigênia de Minas;;;;;;
MG;3157609;Santa Fé de Minas;;;;;;
MG;3157658;Santa Helena de Minas;;;;;;
MG;3157708;Santa Juliana;;;;;;
MG;3157807;Santa Luzia;;;;;;
MG;3157906;Santa Margarida;;;;;;
MG;3158003;Santa Maria de Itabira;;;;;;
MG;3158102;Santa Maria do Salto;;;;;;
MG;3158201;Santa Maria do Suaçuí;;;;;;
MG;3158300;Santana da Vargem;;;;;;
MG;3158409;Santana de Cataguases;;;;;;
MG;3158508;Santana de Pirapama;;;;;;
MG;3158607;Santana do Deserto;;;;;;
MG;3158706;Santana do Garambéu;;;;;;
MG;3158805;Santana do Jacaré;;;;;;
MG;3158904;Santana do Manhuaçu;;;;;;
MG;3158953;Santana do Paraíso;;;;;;
MG;3159001;Santana do Riacho;;;;;;
MG;3159100;Santana dos Montes;;;;;;
MG;3159209;Santa Rita de Caldas;;;;;;
MG;3159308;Santa Rita de Jacutinga;;;;;;
MG;3159357;Santa Rita de Minas;;;;;;
MG;3159407;Santa Rita de Ibitipoca;;;;;;
MG;3159506;Santa Rita do Itueto;;;;;;
MG;3159605;Santa Rita do Sapucaí;;;;;;
MG;3159704;Santa Rosa da Serra;;;;;;
MG;3159803;Santa Vitória;;;;;;
MG;3159902;Santo Antônio do Amparo;;;;;;
MG;3160009;Santo Antônio do Aventureiro;;;;;;
MG;3160108;Santo Antônio do Grama;;;;;;
MG;3160207;Santo Antônio do Itambé;;;;;;
MG;3160306;Santo Antônio do Jacinto;;;;;;
MG;3160405;Santo Antônio do Monte;;;;;;
MG;3160454;Santo Antônio do Retiro;;;;;;
MG;3160504;Santo Antônio do Rio Abaixo;;;;;;
MG;3160603;Santo Hipólito;;;;;;
MG;3160702;Santos Dumont;;;;;;
MG;3160801;São Bento Abade;;;;;;
MG;3160900;São Brás do Suaçuí;;;;;;
MG;3160959;São Domingos das Dores;;;;;;
MG;3161007;São Domingos do Prata;;;;;;
MG;3161056;São Félix de Minas;;;;;;
MG;3161106;São Francisco;;;;;;
MG;3161205;São Francisco de Paula;;;;;;
MG;3161304;São Francisco de Sales;;;;;;
MG;3161403;São Francisco do Glória;;;;;;
MG;3161502;São Geraldo;;;;;;
MG;3161601;São Geraldo da Piedade;;;;;;
MG;3161650;São Geraldo do Baixio;;;;;;
MG;3161700;São Gonçalo do Abaeté;;;;;;
MG;3161809;São Gonçalo do Pará;;;;;;
MG;3161908;São Gonçalo do Rio Abaixo;;;;;;
MG;3162005;São Gonçalo do Sapucaí;;;;;;
MG;3162104;São Gotardo;;;;;;
MG;3162203;São João Batista do Glória;;;;;;
MG;3162252;São João da Lagoa;;;;;;
MG;3162302;São João da Mata;;;;;;
MG;3162401;São João da Ponte;;;;;;
MG;3162450;São João das Missões;;;;;;
MG;3162500;São João del Rei;;;;;;
MG;3162559;São João do Manhuaçu;;;;;;
MG;3162575;São João do Manteninha;;;;;;
MG;3162609;São João do Oriente;;;;;;
MG;3162658;São João do Pacuí;;;;;;
MG;3162708;São João do Paraíso;;;;;;
MG;3162807;São João Evangelista;;;;;;
MG;3162906;São João Nepomuceno;;;;;;
MG;3162922;São Joaquim de Bicas;;;;;;
MG;3162948;São José da Barra;;;;;;
MG;3162955;São José da Lapa;;;;;;
MG;3163003;São José da Safira;;;;;;
MG;3163102;São José da Varginha;;;;;;
MG;3163201;São José do Alegre;;;;;;
MG;3163300;São José do Divino;;;;;;
MG;3163409;São José do Goiabal;;;;;;
MG;3163508;São José do Jacuri;;;;;;
MG;3163607;São José do Mantimento;;;;;;
MG;3163706;São Lourenço;;;;;;
MG;3163805;São Miguel do Anta;;;;;;
MG;3163904;São Pedro da União;;;;;;
MG;3164001;São Pedro dos Ferros;;;;;;
MG;3164100;São Pedro do Suaçuí;;;;;;
MG;3164209;São Romão;;;;;;
MG;3164308;São Roque de Minas;;;;;;
MG;3164407;São Sebastião da Bela Vista;;;;;;
MG;3164431;São Sebastião da Vargem Alegre;;;;;;
MG;3164472;São Sebastião do Anta;;;;;;
MG;3164506;São Sebastião do Maranhão;;;;;;
MG;3164605;São Sebastião do Oeste;;;;;;
MG;3164704;São Sebastião do Paraíso;;;;;;
MG;3164803;São Sebastião do Rio Preto;;;;;;
MG;3164902;São Sebastião do Rio Verde;;;;;;
MG;3165008;São Tiago;;;;;;
MG;3165107;São Tomás de Aquino;;;;;;
MG;3165206;São Thomé das Letras;;;;;;
MG;3165305;São Vicente de Minas;;;;;;
MG;3165404;Sapucaí-Mirim;;;;;;
MG;3165503;Sardoá;;;;;;
MG;3165537;Sarzedo;;;;;;
MG;3165552;Setubinha;;;;;;
MG;3165560;Sem-Peixe;;;;;;
MG;3165578;Senador Amaral;;;;;;
MG;3165602;Senador Cortes;;;;;;
MG;3165701;Senador Firmino;;;;;;
MG;3165800;Senador José Bento;;;;;;
MG;3165909;Senador Modestino Gonçalves;;;;;;
MG;3166006;Senhora de Oliveira;;;;;;
MG;3166105;Senhora do Porto;;;;;;
MG;3166204;Senhora dos Remédios;;;;;;
MG;3166303;Sericita;;;;;;
MG;3166402;Seritinga;;;;;;
MG;3166501;Serra Azul de Minas;;;;;;
MG;3166600;Serra da Saudade;;;;;;
MG;3166709;Serra dos Aimorés;;;;;;
MG;3166808;Serra do Salitre;;;;;;
MG;3166907;Serrania;;;;;;
MG;3166956;Serranópolis de Minas;;;;;;
MG;3167004;Serranos;;;;;;
MG;3167103;Serro;;;;;;
MG;3167202;Sete Lagoas;;;;;;
MG;3167301;Silveirânia;;;;;;
MG;3167400;Silvianópolis;;;;;;
MG;3167509;Simão Pereira;;;;;;
MG;3167608;Simonésia;;;;;;
MG;3167707;Sobrália;;;;;;
MG;3167806;Soledade de Minas;;;;;;
MG;3167905;Tabuleiro;;;;;;
MG;3168002;Taiobeiras;;;;;;
MG;3168051;Taparuba;;;;;;
MG;3168101;Tapira;;;;;;
MG;3168200;Tapiraí;;;;;;
MG;3168309;Taquaraçu de Minas;;;;;;
MG;3168408;Tarumirim;;;;;;
MG;3168507;Teixeiras;;;;;;
MG;3168606;Teófilo Otoni;;;;;;
MG;3168705;Timóteo;;;;;;
MG;3168804;Tiradentes;;;;;;
MG;3168903;Tiros;;;;;;
MG;3169000;Tocantins;;;;;;
MG;3169059;Tocos do Moji;;;;;;
MG;3169109;Toledo;;;;;;
MG;3169208;Tombos;;;;;;
MG;3169307;Três Corações;;;;;;
MG;3169356;Três Marias;;;;;;
MG;3169406;Três Pontas;;;;;;
MG;3169505;Tumiritinga;;;;;;
MG;3169604;Tupaciguara;;;;;;
MG;3169703;Turmalina;;;;;;
MG;3169802;Turvolândia;;;;;;
MG;3169901;Ubá;;;;;;
MG;3170008;Ubaí;;;;;;
MG;3170057;Ubaporanga;;;;;;
MG;3170107;Uberaba;;;;;;
MG;3170206;Uberlândia;;;;;;
MG;3170305;Umburatiba;;;;;;
MG;3170404;Unaí;;;;;;
MG;3170438;União de Minas;;;;;;
MG;3170479;Uruana de Minas;;;;;;
MG;3170503;Urucânia;;;;;;
MG;3170529;Urucuia;;;;;;
MG;3170578;Vargem Alegre;;;;;;
MG;3170602;Vargem Bonita;;;;;;
MG;3170651;Vargem Grande do Rio Pardo;;;;;;
MG;3170701;Varginha;;;;;;
MG;3170750;Varjão de Minas;;;;;;
MG;3170800;Várzea da Palma;;;;;;
MG;3170909;Varzelândia;;;;;;
MG;3171006;Vazante;;;;;;
MG;3171030;Verdelândia;;;;;;
MG;3171071;Veredinha;;;;;;
MG;3171105;Veríssimo;;;;;;
MG;3171154;Vermelho Novo;;;;;;
MG;3171204;Vespasiano;;;;;;
MG;3171303;Viçosa;;;;;;
MG;3171402;Vieiras;;;;;;
MG;3171501;Mathias Lobato;;;;;;
MG;3171600;Virgem da Lapa;;;;;;
MG;3171709;Virgínia;;;;;;
MG;3171808;Virginópolis;;;;;;
MG;3171907;Virgolândia;;;;;;
MG;3172004;Visconde do Rio Branco;;;;;;
MG;3172103;Volta Grande;;;;;;
MG;3172202;Wenceslau Braz;;;;;;
